Tissues	N_EUR	MetaTissue	TissueType
Adipose_Subcutaneous	492	Adipose_Subcutaneous	Subsample
Adipose_Visceral_Omentum	402	Adipose_Visceral_Omentum	Subsample
Adrenal_Gland	200	Adrenal_Gland	Small_withoutMetaanalysis
Artery_Aorta	338	Artery_Aorta	Subsample
Artery_Coronary	180	Artery_Coronary	Small_withoutMetaanalysis
Artery_Tibial	489	Artery_Tibial	Subsample
Brain_Amygdala	119	Brain_Limbic	Metaanalyze
Brain_Anterior_cingulate_cortex_BA24	136	Brain_Cortex	Metaanalyze
Brain_Caudate_basal_ganglia	173	Brain_BasalGanglia	Metaanalyze
Brain_Cerebellar_Hemisphere	158	Brain_Cerebellum	Metaanalyze
Brain_Cerebellum	189	Brain_Cerebellum	Metaanalyze
Brain_Cortex	184	Brain_Cortex	Metaanalyze
Brain_Frontal_Cortex_BA9	158	Brain_Cortex	Metaanalyze
Brain_Hippocampus	151	Brain_Limbic	Metaanalyze
Brain_Hypothalamus	157	Brain_Limbic	Metaanalyze
Brain_Nucleus_accumbens_basal_ganglia	182	Brain_BasalGanglia	Metaanalyze
Brain_Putamen_basal_ganglia	154	Brain_BasalGanglia	Metaanalyze
Brain_Spinal_cord_cervical_c-1	115	Brain_Spinal_cord_cervical_c-1	Small_withoutMetaanalysis
Brain_Substantia_nigra	101	Brain_Substantia_nigra	Small_withoutMetaanalysis
Breast_Mammary_Tissue	337	Breast_Mammary_Tissue	Subsample
Cells_EBV-transformed_lymphocytes	116	Cells_EBV-transformed_lymphocytes	Small_withoutMetaanalysis
Cells_Cultured_fibroblasts	416	Cells_Cultured_fibroblasts	Subsample
Colon_Sigmoid	273	Colon_Sigmoid	Metaanalyze
Colon_Transverse	305	Colon_Transverse	Metaanalyze
Esophagus_Gastroesophageal_Junction	281	Colon_Sigmoid	Metaanalyze
Esophagus_Mucosa	424	Esophagus_Mucosa	Subsample
Esophagus_Muscularis	396	Esophagus_Muscularis	Subsample
Heart_Atrial_Appendage	322	Heart_Atrial_Appendage	Subsample
Heart_Left_Ventricle	334	Heart_Left_Ventricle	Subsample
Liver	183	Liver	Small_withoutMetaanalysis
Lung	444	Lung	Subsample
Minor_Salivary_Gland	118	Minor_Salivary_Gland	Small_withoutMetaanalysis
Muscle_Skeletal	602	Muscle_Skeletal	Subsample
Nerve_Tibial	449	Nerve_Tibial	Subsample
Ovary	140	Ovary	Small_withoutMetaanalysis
Pancreas	252	Pancreas	Small_withoutMetaanalysis
Pituitary	220	Pituitary	Small_withoutMetaanalysis
Prostate	186	Prostate	Small_withoutMetaanalysis
Skin_Not_Sun_Exposed_Suprapubic	440	Skin_Not_Sun_Exposed_Suprapubic	Subsample
Skin_Sun_Exposed_Lower_leg	518	Skin_Sun_Exposed_Lower_leg	Subsample
Small_Intestine_Terminal_Ileum	144	Colon_Transverse	Metaanalyze
Spleen	185	Spleen	Small_withoutMetaanalysis
Stomach	269	Stomach	Small_withoutMetaanalysis
Testis	277	Testis	Small_withoutMetaanalysis
Thyroid	494	Thyroid	Subsample
Uterus	108	Uterus	Small_withoutMetaanalysis
Vagina	122	Vagina	Small_withoutMetaanalysis
Whole_Blood	574	Whole_Blood	Subsample
