Tissue	omega_ge_t	JK_SE	P	FDRP
Adipose_Subcutaneous	0.144322009327819	0.123301841031617	0.120904466544677	0.725426799268062
Adipose_Visceral_Omentum	-0.101344309549979	0.122962101886241	0.795084599725347	0.767528407765528
Adrenal_Gland	0.0149375843556558	0.0656895560790684	0.410057666257089	0.940720528472145
Artery_Aorta	-0.0530370540825295	0.120947599953165	0.669492653478107	0.85049357732932
Artery_Coronary	-0.0569029446728239	0.0848468825660969	0.748779676627236	0.780061095153957
Artery_Tibial	0.107239264646353	0.0974022405600043	0.135449674021256	0.725819329681992
Brain_Limbic	0.119840350572916	0.0980825511413149	0.110885676921071	0.725426799268062
Brain_Cortex	0.109585945855103	0.0757023305873513	0.0738658579009819	0.720192114534573
Brain_BasalGanglia	-0.0791090773002649	0.0971867388854108	0.792174788976956	0.767528407765528
Brain_Cerebellum	-0.120520566030345	0.134048041169088	0.815696272507857	0.767528407765528
Brain_Spinal_cord_cervical_c-1	0.0747371871734095	0.0841699564553593	0.187288699039337	0.767528407765528
Brain_Substantia_nigra	-0.230423191228693	0.0709537661933398	0.999417905766771	0.0454033501918596
Breast_Mammary_Tissue	-0.0543641144906333	0.127008324490961	0.665687485330275	0.85049357732932
Cells_EBV-transformed_lymphocytes	-0.0883121105929886	0.0751180256288562	0.880131562380027	0.725426799268062
Cells_Cultured_fibroblasts	-0.0300186723423765	0.0718352757009698	0.661983321830655	0.85049357732932
Colon_Sigmoid	0.0600506497830137	0.0827372378361354	0.233980832185074	0.767528407765528
Colon_Transverse	-0.150141010834265	0.0933878264822571	0.946051195699954	0.701334455900598
Esophagus_Mucosa	0.13595410414324	0.110867700228695	0.11004791674557	0.725426799268062
Esophagus_Muscularis	0.0364130038429317	0.108267794606619	0.368313464518826	0.870559097953589
Heart_Atrial_Appendage	-0.0946398173647364	0.12137530973984	0.782224720869504	0.767528407765528
Heart_Left_Ventricle	-0.000735617809578243	0.121721740984409	0.502410968309288	0.995178063381424
Liver	0.178754654229253	0.123098571833532	0.0732332671119237	0.720192114534573
Lung	-0.000630689912765392	0.081344708951238	0.503093088099233	0.995178063381424
Minor_Salivary_Gland	0.123486381632554	0.0639495247065458	0.0267416718007853	0.562250654804417
Muscle_Skeletal	-0.230381326426725	0.121366850117182	0.971166633086953	0.562250654804417
Nerve_Tibial	0.0975069221828495	0.0936465252486698	0.148886016345024	0.725819329681992
Ovary	0.0217014343608514	0.0623988288096748	0.364000480622287	0.870559097953589
Pancreas	-0.239061802060235	0.140881219417708	0.955142525242171	0.699776606222132
Pituitary	0.0865137511437287	0.0823870890001265	0.146838666894495	0.725819329681992
Prostate	-0.0120895453048315	0.0871050492141839	0.555193020191358	0.946585060142655
Skin_Not_Sun_Exposed_Suprapubic	0.0873041420027534	0.135716618126291	0.260020365051319	0.780061095153957
Skin_Sun_Exposed_Lower_leg	-0.0838044075655848	0.171432986856332	0.687524796133211	0.85049357732932
Spleen	-0.0146769029969504	0.0747506537630926	0.577829855155069	0.940836322797275
Stomach	0.0815466040966658	0.113463881891715	0.236162587004778	0.767528407765528
Testis	0.0567637558975686	0.0954751505751042	0.276075638966172	0.797551845902275
Thyroid	0.164950164800466	0.0827975304821325	0.0231739467710589	0.562250654804417
Uterus	0.115478666002931	0.159766499496353	0.234902460227406	0.767528407765528
Vagina	0.0111040758245072	0.0866592779377007	0.449021118272798	0.946585060142655
Whole_Blood	-0.0918634779260474	0.0757717580658426	0.887314791113396	0.725426799268062
AllTissues	0.0961340133822174	0.137008435220084	0.241444076004434	NA
