Trait	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
"BMI,Yrs Edu"	Adipose Sub.	0.001565751	0.001815307	0.1941988	0.8873568	0.031954103	0.037047078	-0.049
"BMI,Yrs Edu"	Adipose Visc.	-0.002484375	0.002069058	0.11492848	0.8168151	-0.050701527	0.042225677	-0.049
"BMI,Yrs Edu"	Adrenal Gland	-0.002393137	0.001511542	0.05668318	0.8168151	-0.048839531	0.030847802	-0.049
"BMI,Yrs Edu"	Aorta Artery	-0.003023445	0.003968914	0.22309517	0.8873568	-0.061702968	0.080998236	-0.049
"BMI,Yrs Edu"	Coronary Artery	0.002744909	0.001830712	0.06688923	0.8168151	0.056018542	0.037361462	-0.049
"BMI,Yrs Edu"	Tibial Artery	-0.001481357	0.002309325	0.26060944	0.8873568	-0.030231781	0.047129079	-0.049
"BMI,Yrs Edu"	Brain Limbic	-0.00060911	0.001650777	0.35606991	0.9272314	-0.012430813	0.033689322	-0.049
"BMI,Yrs Edu"	Brain Cortex	0.00135941	0.001575165	0.19406123	0.8873568	0.027743062	0.032146216	-0.049
"BMI,Yrs Edu"	Brain Basal Ganglia	-0.000569584	0.001827104	0.37761863	0.9272314	-0.011624155	0.037287843	-0.049
"BMI,Yrs Edu"	Brain Cereb.	-0.002706348	0.002146111	0.10364579	0.8168151	-0.0552316	0.043798177	-0.049
"BMI,Yrs Edu"	Brain Spinal Cord	-0.000874084	0.001121145	0.21780281	0.8873568	-0.017838448	0.022880506	-0.049
"BMI,Yrs Edu"	Brain Subst. Nigra	-7.38E-05	0.001110861	0.47352159	0.9620376	-0.001505791	0.022670641	-0.049
"BMI,Yrs Edu"	Breast	0.000103431	0.002173068	0.48101882	0.9620376	0.002110836	0.044348335	-0.049
"BMI,Yrs Edu"	LCLs	0.00096759	0.000823649	0.12004534	0.8168151	0.01974673	0.016809158	-0.049
"BMI,Yrs Edu"	Fibroblasts	0.001066179	0.001538972	0.24422166	0.8873568	0.021758764	0.031407588	-0.049
"BMI,Yrs Edu"	Sigmoid Intestine	-0.001245422	0.001604788	0.21885481	0.8873568	-0.02541678	0.032750768	-0.049
"BMI,Yrs Edu"	Transverse Intestine	0.000964751	0.001671493	0.28190917	0.8873568	0.019688794	0.034112094	-0.049
"BMI,Yrs Edu"	Esophagus Mucosa	0.000763692	0.002440044	0.3771468	0.9272314	0.015585558	0.049796824	-0.049
"BMI,Yrs Edu"	Esophagus Muscularis	0.00427973	0.002691935	0.0559361	0.8168151	0.087341425	0.054937444	-0.049
"BMI,Yrs Edu"	Heart A. Appen.	-0.000117744	0.001649596	0.47154869	0.9620376	-0.002402937	0.033665223	-0.049
"BMI,Yrs Edu"	Heart Left Vent.	0.000477156	0.001959384	0.4038	0.9272314	0.009737871	0.039987426	-0.049
"BMI,Yrs Edu"	Liver	0.001734156	0.001469479	0.11897698	0.8168151	0.03539094	0.029989366	-0.049
"BMI,Yrs Edu"	Lung	-0.000184636	0.001368316	0.44633088	0.9620376	-0.003768089	0.027924817	-0.049
"BMI,Yrs Edu"	Min. Salivary Gland	0.001664539	0.000930469	0.03681345	0.8168151	0.03397018	0.018989159	-0.049
"BMI,Yrs Edu"	Muscle Skeletal	-0.002837403	0.002441774	0.12261254	0.8168151	-0.057906191	0.049832114	-0.049
"BMI,Yrs Edu"	Tibial Nerve	-0.001643187	0.0020795	0.21471033	0.8873568	-0.033534421	0.042438781	-0.049
"BMI,Yrs Edu"	Ovary	-0.000432925	0.001656082	0.39688624	0.9272314	-0.008835199	0.033797596	-0.049
"BMI,Yrs Edu"	Pancreas	-0.000874914	0.001384582	0.26372685	0.8873568	-0.017855394	0.028256779	-0.049
"BMI,Yrs Edu"	Pituitary	8.17E-05	0.001409533	0.47688825	0.9620376	0.00166742	0.028765982	-0.049
"BMI,Yrs Edu"	Prostate	0.000388346	0.001435777	0.39339633	0.9272314	0.007925428	0.029301578	-0.049
"BMI,Yrs Edu"	Skin (sun unexposed)	0.007157206	0.00395959	0.0353373	0.8168151	0.146065431	0.080807953	-0.049
"BMI,Yrs Edu"	Skin (sun exposed)	-0.009957878	0.006854434	0.07314457	0.8168151	-0.203222009	0.139886408	-0.049
"BMI,Yrs Edu"	Spleen	0.001129555	0.00162222	0.24311984	0.8873568	0.023052143	0.033106526	-0.049
"BMI,Yrs Edu"	Stomach	0.001049396	0.001976595	0.29774022	0.8932207	0.021416245	0.040338671	-0.049
"BMI,Yrs Edu"	Testis	-0.000415967	0.001714989	0.4041778	0.9272314	-0.008489124	0.034999777	-0.049
"BMI,Yrs Edu"	Thyroid	0.001060593	0.001802314	0.27811124	0.8873568	0.021644747	0.036781917	-0.049
"BMI,Yrs Edu"	Uterus	-0.00152172	0.001326545	0.12566385	0.8168151	-0.031055515	0.027072348	-0.049
"BMI,Yrs Edu"	Vagina	0.000475431	0.001108835	0.33404668	0.9272314	0.009702676	0.022629291	-0.049
"BMI,Yrs Edu"	Whole Blood	-0.000784016	0.001375968	0.28440922	0.8873568	-0.01600033	0.028080978	-0.049
"BMI,Yrs Edu"	AllTissues	-0.005197514	0.002768198	0.03021932	1	-0.106071706	0.05649384	-0.049
"BMI,FVC"	Adipose Sub.	0.003194691	0.002520799	0.10251819	0.7943303	0.077729714	0.061333317	-0.0411
"BMI,FVC"	Adipose Visc.	-0.002333874	0.002578762	0.182723	0.8721595	-0.056785246	0.062743591	-0.0411
"BMI,FVC"	Adrenal Gland	0.002092246	0.001482129	0.07902669	0.7943303	0.05090622	0.036061532	-0.0411
"BMI,FVC"	Aorta Artery	-0.001329159	0.007082886	0.42557245	0.9568132	-0.032339632	0.172332985	-0.0411
