Trait_Nickname	Trait_Fullname	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Adipose Sub.	0.001565751	0.0018153068	0.1941988	0.8873568	-0.0319541020408163	0.0370470780375824	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Adipose Visc.	-0.002484375	0.0020690582	0.11492848	0.8168151	0.0507015306122449	0.0422256768752153	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Adrenal Gland	-0.002393137	0.0015115423	0.0566831800000001	0.8168151	0.0488395306122449	0.0308478021132537	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Aorta Artery	-0.003023445	0.0039689136	0.22309517	0.8873568	0.0617029591836735	0.0809982359752537	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Coronary Artery	0.002744909	0.0018307116	0.06688923	0.8168151	-0.0560185510204082	0.0373614618643353	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Tibial Artery	-0.001481357	0.0023093249	0.26060944	0.8873568	0.0302317755102041	0.0471290793338043	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Brain Limbic	-0.0006091098	0.0016507768	0.35606991	0.9272314	0.012430812244898	0.0336893218016771	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Brain Cortex	0.00135941	0.0015751646	0.19406123	0.8873568	-0.0277430612244898	0.0321462161389588	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Brain Basal Ganglia	-0.0005695836	0.0018271043	0.37761863	0.9272314	0.0116241551020408	0.03728784336618	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Brain Cereb.	-0.002706348	0.0021461107	0.10364579	0.8168151	0.0552315918367347	0.0437981766451147	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Brain Spinal Cord	-0.000874084	0.0011211448	0.21780281	0.8873568	0.0178384489795918	0.0228805057709306	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Brain Subst. Nigra	-7.378378e-05	0.0011108614	0.47352159	0.9620376	0.00150579142857143	0.0226706413735453	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Breast	0.0001034309	0.0021730684	0.48101882	0.9620376	-0.00211083469387755	0.0443483346783447	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	LCLs	0.0009675898	0.0008236488	0.12004534	0.8168151	-0.0197467306122449	0.0168091583620559	-0.049
BMI,Yrs Edu	UKB_460K.body_BMIz,UKB_460K.cov_EDU_YEARS	Fibroblasts	0.001066179	0.0015389718	0.24422166	0.8873568	-0.0217587551020408	0.0314075875428278	-0.049
