Trait	Tissue	TCSC_h2ge(t')	TCSC_JKSE	TCSC_JKP	TCSC_FDR	pi_(t')	pi_(t')_SE
BMI	Adipose Sub.	0.000275746	0.004401233	4.75E-01	0.975044794	0.000992249	0.015837472
BMI	Adipose Visc.	0.005182266	0.004325365	1.15E-01	0.475927426	0.018647952	0.015564464
BMI	Adrenal Gland	-0.002130663	0.002837309	7.74E-01	0.996687128	-0.007667015	0.010209821
BMI	Aorta Artery	0.013602182	0.011301354	0.1143743	0.475927426	0.048946317	0.040666981
BMI	Coronary Artery	0.005370029	0.005115876	0.146932828	0.520943664	0.019323601	0.018409055
BMI	Tibial Artery	-0.002224651	0.005402896	0.659739237	0.996687128	-0.00800522	0.01944187
BMI	Brain Limbic	0.002660409	0.004142033	0.26034063	0.684992508	0.009573261	0.014904759
BMI	Brain Cortex	-0.001158637	0.002952451	0.652630579	0.996687128	-0.004169258	0.010624148
BMI	Brain Basal Ganglia	-0.000913223	0.004280866	0.584463878	0.996687128	-0.003286155	0.015404341
BMI	Brain Cereb.	0.011706553	0.004181623	0.002558905	0.099797285	0.042125054	0.015047223
BMI	Brain Spinal Cord	0.001560383	0.003262961	0.316250067	0.725514859	0.00561491	0.011741494
BMI	Brain Subst. Nigra	0.008294119	0.006444629	0.099050366	0.475927426	0.029845696	0.023190462
BMI	Breast	-0.007603136	0.004174839	0.965710298	0.996687128	-0.027359252	0.015022811
BMI	LCLs	-0.000844684	0.002283711	0.644261609	0.996687128	-0.003039525	0.008217743
BMI	Fibroblasts	-0.002180979	0.003090368	0.759823335	0.996687128	-0.00784807	0.01112043
BMI	Sigmoid Intestine	-0.010379271	0.004061411	0.99469949	0.996687128	-0.037348941	0.014614648
BMI	Transverse Intestine	-0.001681124	0.003283436	0.695674987	0.996687128	-0.006049384	0.011815171
BMI	Esophagus Mucosa	-0.005749998	0.003880725	0.930787426	0.996687128	-0.020690888	0.013964467
BMI	Esophagus Muscularis	0.004372117	0.006910048	0.263458657	0.684992508	0.0157327	0.024865234
BMI	Heart A. Appen.	1.36E-03	0.00402565	0.367704619	0.79669334	0.004895371	0.014485965
BMI	Heart Left Vent.	0.004928067	0.004141312	0.117027666	0.475927426	0.01773324	0.014902167
BMI	Liver	5.72E-03	0.003611189	0.056697887	0.442243519	0.020571858	0.012994563
