Tissue	h2ge_t	JK_SE	P	FDRP
Adipose_Subcutaneous	0.000992248801730312	0.0158374720795776	0.475021822897277	0.975044794368095
Adipose_Visceral_Omentum	0.0186479520268455	0.0155644644769793	0.115436954446405	0.47592742566874
Adrenal_Gland	-0.00766701459795281	0.010209820624271	0.773657146662837	0.996687127579802
Artery_Aorta	0.0489463173023665	0.0406669807221741	0.114374300097275	0.47592742566874
Artery_Coronary	0.0193236010309723	0.0184090549633687	0.146932828174939	0.520943663529329
Artery_Tibial	-0.00800522026641041	0.0194418697600113	0.659739236557777	0.996687127579802
Brain_Limbic	0.00957326148262392	0.01490475919873	0.26034063029425	0.684992507625876
Brain_Cortex	-0.00416925841789103	0.01062414759655	0.652630578896043	0.996687127579802
Brain_BasalGanglia	-0.0032861554161527	0.0154043412623423	0.584463878011325	0.996687127579802
Brain_Cerebellum	0.0421250542435589	0.0150472230759098	0.00255890475360951	0.0997972853907709
Brain_Spinal_cord_cervical_c-1	0.00561490986905622	0.0117414938268866	0.316250066604024	0.72551485867982
Brain_Substantia_nigra	0.0298456957930379	0.0231904619128961	0.0990503656730043	0.47592742566874
Breast_Mammary_Tissue	-0.0273592524032227	0.015022810967538	0.965710298361121	0.996687127579802
Cells_EBV-transformed_lymphocytes	-0.00303952508034527	0.00821774327833772	0.644261608739489	0.996687127579802
Cells_Cultured_fibroblasts	-0.0078480700494891	0.0111204302359624	0.759823334869142	0.996687127579802
Colon_Sigmoid	-0.0373489410205026	0.0146146482200896	0.994699490474586	0.996687127579802
Colon_Transverse	-0.00604938432521171	0.0118151713522012	0.69567498665379	0.996687127579802
Esophagus_Mucosa	-0.0206908881058542	0.0139644671195002	0.930787426343508	0.996687127579802
Esophagus_Muscularis	0.0157326998836872	0.0248652335826601	0.263458656779183	0.684992507625876
Heart_Atrial_Appendage	0.00489537090114634	0.0144859647461491	0.367704618507382	0.796693340099328
Heart_Left_Ventricle	0.0177332396809209	0.0149021669071075	0.117027665793995	0.47592742566874
Liver	0.0205718581549835	0.0129945630802365	0.0566978869974647	0.442243518580225
Lung	-0.0306295723294595	0.0122194175357152	0.993905608054529	0.996687127579802
Minor_Salivary_Gland	-0.00493251945082013	0.0102891951963498	0.684168780472813	0.996687127579802
Muscle_Skeletal	0.0126014446392489	0.0169038117878551	0.22799095904892	0.68397287714676
Nerve_Tibial	0.0458164074471414	0.0204941293587883	0.0126894212233674	0.247443713855664
Ovary	0.0201028230129945	0.0172573382848338	0.122032673248395	0.47592742566874
Pancreas	0.00585447458043898	0.0111731745672507	0.300147639286297	0.72551485867982
Pituitary	-0.0205841022051031	0.0110846535112825	0.968343785274887	0.996687127579802
Prostate	-0.0197998027433893	0.0143467692955452	0.916220209189003	0.996687127579802
Skin_Not_Sun_Exposed_Suprapubic	-0.0550364439680468	0.0356191301659377	0.938843462799655	0.996687127579802
Skin_Sun_Exposed_Lower_leg	0.103614165319046	0.0633244803471534	0.0508944896998583	0.442243518580225
Spleen	-0.00710837373322909	0.0108890511525085	0.743057421963528	0.996687127579802
Stomach	-0.0180475531410578	0.0144305989846127	0.894467945442048	0.996687127579802
Testis	0.028446359184699	0.0159530809077754	0.0372828676930911	0.442243518580225
Thyroid	-0.0317022434347222	0.0116763072906601	0.996687127579802	0.996687127579802
Uterus	-0.00384796950779878	0.0116095571579596	0.629847106305338	0.996687127579802
Vagina	-0.00807519969229109	0.00955023386487598	0.801098069604923	0.996687127579802
Whole_Blood	0.0107705124570618	0.011805911220586	0.180805860729845	0.587619047371996
AllTissues	0.13598090592261	0.0268248862603622	1.99738106895418e-07	NA
