Tissue	h2ge_t	JK_SE	P	FDRP
Brain_Amygdala	0.0541275174659701	0.022589346130923	0.00828409844693951	0.0538466399051068
Brain_Anterior_cingulate_cortex_BA24	-0.0244135396533421	0.00907222371202583	0.996438308730574	0.996438308730574
Brain_Caudate_basal_ganglia	0.00337323202883459	0.0132275571849975	0.399355566182976	0.576846928930965
Brain_Cerebellar_Hemisphere	-0.00141914810510537	0.0154135089229912	0.536679466968913	0.634257551872352
Brain_Cerebellum	0.0389511812391207	0.0158423734219544	0.00697262088117894	0.0538466399051068
Brain_Cortex	0.00981523492485673	0.0126272227458663	0.218488686058388	0.405764702679863
Brain_Frontal_Cortex_BA9	0.0253202008767328	0.0134243949563184	0.0296384843379169	0.128433432130973
Brain_Hippocampus	-0.0182702489716792	0.0106830059389106	0.956387042094182	0.996438308730574
Brain_Hypothalamus	0.00476191964789438	0.0147249031067315	0.373199096446841	0.576846928930965
Brain_Nucleus_accumbens_basal_ganglia	0.00996594553080518	0.0115745071241515	0.1946120054092	0.405764702679863
Brain_Putamen_basal_ganglia	0.00115287648477984	0.0118846866035635	0.461361129660546	0.59976946855871
Brain_Spinal_cord_cervical_c-1	0.010423450494497	0.0114652894725383	0.181640480937297	0.405764702679863
Brain_Substantia_nigra	0.00932736061044363	0.0106680182207065	0.190969481151038	0.405764702679863
AllTissues	0.123115982573808	0.0209942282532821	2.25546122203743e-09	NA
