Trait	Trait_Nickname	Tissue	TCSC_h2	TCSC_JKSE	TCSC_JKP	TCSC_FDRP	prop_h2g	prop_h2g_se
UKB_460K.body_BMIz	BMI	Adipose_Subcutaneous	 0.0002757459	0.004401233	4.750218e-01	0.97504479	0.000992248801730313	0.0158374720795776
UKB_460K.body_BMIz	BMI	Adipose_Visceral_Omentum	 0.0051822659	0.004325365	1.154370e-01	0.47592743	0.0186479520268455	0.0155644644769793
UKB_460K.body_BMIz	BMI	Adrenal_Gland	-0.0021306634	0.002837309	7.736571e-01	0.99668713	-0.00766701459795283	0.010209820624271
UKB_460K.body_BMIz	BMI	Artery_Aorta	 0.0136021816	0.011301354	1.143743e-01	0.47592743	0.0489463173023663	0.0406669807221742
UKB_460K.body_BMIz	BMI	Artery_Coronary	 0.0053700287	0.005115876	1.469328e-01	0.52094366	0.0193236010309723	0.0184090549633687
UKB_460K.body_BMIz	BMI	Artery_Tibial	-0.0022246507	0.005402896	6.597392e-01	0.99668713	-0.0080052202664104	0.0194418697600113
UKB_460K.body_BMIz	BMI	Brain_Limbic	 0.0026604094	0.004142033	2.603406e-01	0.68499251	0.00957326148262393	0.01490475919873
UKB_460K.body_BMIz	BMI	Brain_Cortex	-0.0011586369	0.002952451	6.526306e-01	0.99668713	-0.00416925841789104	0.01062414759655
UKB_460K.body_BMIz	BMI	Brain_BasalGanglia	-0.0009132226	0.004280866	5.844639e-01	0.99668713	-0.0032861554161527	0.0154043412623424
UKB_460K.body_BMIz	BMI	Brain_Cerebellum	 0.0117065526	0.004181623	2.558905e-03	0.09979729	0.0421250542435588	0.0150472230759098
UKB_460K.body_BMIz	BMI	Brain_Spinal_cord_cervical_c-1	 0.0015603835	0.003262961	3.162501e-01	0.72551486	0.00561490986905621	0.0117414938268866
UKB_460K.body_BMIz	BMI	Brain_Substantia_nigra	 0.0082941189	0.006444629	9.905037e-02	0.47592743	0.0298456957930379	0.0231904619128961
UKB_460K.body_BMIz	BMI	Breast_Mammary_Tissue	-0.0076031362	0.004174839	9.657103e-01	0.99668713	-0.0273592524032227	0.015022810967538
UKB_460K.body_BMIz	BMI	Cells_EBV-transformed_lymphocytes	-0.0008446840	0.002283711	6.442616e-01	0.99668713	-0.00303952508034526	0.00821774327833771
UKB_460K.body_BMIz	BMI	Cells_Cultured_fibroblasts	-0.0021809787	0.003090368	7.598233e-01	0.99668713	-0.0078480700494891	0.0111204302359624
UKB_460K.body_BMIz	BMI	Colon_Sigmoid	-0.0103792707	0.004061411	9.946995e-01	0.99668713	-0.0373489410205027	0.0146146482200896
UKB_460K.body_BMIz	BMI	Colon_Transverse	-0.0016811239	0.003283436	6.956750e-01	0.99668713	-0.0060493843252117	0.0118151713522012
