Trait	Trait_Nickname	Tissue	TCSC_h2	TCSC_JKSE	TCSC_JKP	TCSC_FDRP	prop_h2g	prop_h2g_se
UKB_460K.body_BMIz	BMI	Brain_Amygdala	 0.0150420371	0.006277579	8.284098e-03	0.05384664	0.0541275174659701	0.022589346130923
UKB_460K.body_BMIz	BMI	Brain_Anterior_cingulate_cortex_BA24	-0.0067845227	0.002521171	9.964383e-01	0.99643831	-0.0244135396533421	0.00907222371202584
UKB_460K.body_BMIz	BMI	Brain_Caudate_basal_ganglia	 0.0009374212	0.003675938	3.993556e-01	0.57684693	0.00337323202883459	0.0132275571849975
UKB_460K.body_BMIz	BMI	Brain_Cerebellar_Hemisphere	-0.0003943813	0.004283414	5.366795e-01	0.63425755	-0.00141914810510537	0.0154135089229912
UKB_460K.body_BMIz	BMI	Brain_Cerebellum	 0.0108245333	0.004402596	6.972621e-03	0.05384664	0.0389511812391209	0.0158423734219544
UKB_460K.body_BMIz	BMI	Brain_Cortex	 0.0027276538	0.003509105	2.184887e-01	0.40576470	0.00981523492485675	0.0126272227458662
UKB_460K.body_BMIz	BMI	Brain_Frontal_Cortex_BA9	 0.0070364838	0.003730639	2.963848e-02	0.12843343	0.0253202008767328	0.0134243949563184
UKB_460K.body_BMIz	BMI	Brain_Hippocampus	-0.0050773022	0.002968807	9.563870e-01	0.99643831	-0.0182702489716792	0.0106830059389106
UKB_460K.body_BMIz	BMI	Brain_Hypothalamus	 0.0013233375	0.004092051	3.731991e-01	0.57684693	0.00476191964789439	0.0147249031067315
UKB_460K.body_BMIz	BMI	Brain_Nucleus_accumbens_basal_ganglia	 0.0027695363	0.003216556	1.946120e-01	0.40576470	0.00996594553080518	0.0115745071241515
UKB_460K.body_BMIz	BMI	Brain_Putamen_basal_ganglia	 0.0003203844	0.003302754	4.613611e-01	0.59976947	0.00115287648477984	0.0118846866035635
UKB_460K.body_BMIz	BMI	Brain_Spinal_cord_cervical_c-1	 0.0028966769	0.003186204	1.816405e-01	0.40576470	0.010423450494497	0.0114652894725383
UKB_460K.body_BMIz	BMI	Brain_Substantia_nigra	 0.0025920735	0.002964642	1.909695e-01	0.40576470	0.00932736061044365	0.0106680182207065
UKB_460K.body_BMIz	BMI	AllTissues	 0.0342139316	0.005834296	2.255461e-09	NA	0.123115982573809	0.020994228253282
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Amygdala	-0.0021132121	0.001155552	9.662813e-01	0.9662813	-0.0155383240927024	0.00849670414765559
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Anterior_cingulate_cortex_BA24	 0.0006020766	0.001448685	3.388506e-01	0.5506323	0.00442703380354122	0.010652098450781
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Caudate_basal_ganglia	 0.0022538236	0.002102304	1.418436e-01	0.3687935	0.0165722320231979	0.0154581201962893
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Cerebellar_Hemisphere	 0.0029539324	0.001826078	5.287037e-02	0.2291049	0.0217200911237045	0.0134270448454103
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Cerebellum	 0.0028444821	0.002016458	7.917643e-02	0.2573234	0.0209153093999094	0.0148268964486002
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Cortex	-0.0009052769	0.001801980	6.922995e-01	0.8377569	-0.00665644814068973	0.0132498523412745
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Frontal_Cortex_BA9	 0.0017218577	0.001936072	1.869059e-01	0.4049627	0.0126607185119416	0.0142358250520329
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Hippocampus	 0.0013732745	0.001857512	2.298598e-01	0.4268825	0.0100976066272279	0.0136581748278588
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Hypothalamus	-0.0005600186	0.001460369	6.493171e-01	0.8377569	-0.00411778386165078	0.0107380071712176
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Nucleus_accumbens_basal_ganglia	-0.0009914297	0.001695179	7.206766e-01	0.8377569	-0.00728992405898719	0.0124645506921012
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Putamen_basal_ganglia	 0.0039326908	0.001983439	2.369694e-02	0.2291049	0.0289168438245318	0.014584113136372
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Spinal_cord_cervical_c-1	 0.0024737972	0.001512733	5.099139e-02	0.2291049	0.0181896855018187	0.0111230389677788
UKB_460K.cov_EDU_YEARS	Yrs Edu	Brain_Substantia_nigra	-0.0011559260	0.001541635	7.733140e-01	0.8377569	-0.00849945604826625	0.0113355495534377
UKB_460K.cov_EDU_YEARS	Yrs Edu	AllTissues	 0.0124300715	0.002260117	1.901675e-08	NA	0.0913975846135765	0.0166185049270123
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Amygdala	-0.0010641263	0.0010281964	8.496526e-01	0.9204570	-0.0106519144814858	0.0102922563309873
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Anterior_cingulate_cortex_BA24	-0.0014165663	0.0008978965	9.426770e-01	0.9426770	-0.0141798428229353	0.00898795297901596
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Caudate_basal_ganglia	 0.0003207561	0.0012281310	3.969791e-01	0.5519190	0.00321077130127976	0.0122936035038521
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Cerebellar_Hemisphere	 0.0007291955	0.0013679564	2.969979e-01	0.4918081	0.00729925399158525	0.0136932569458304
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Cerebellum	 0.0023991792	0.0014995792	5.481020e-02	0.4514077	0.0240158077018687	0.015010802459538
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Cortex	 0.0015954532	0.0013112352	1.118485e-01	0.4514077	0.0159705027937469	0.0131254769942274
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Frontal_Cortex_BA9	 0.0011271438	0.0011442167	1.622926e-01	0.4514077	0.0112827207468062	0.0114536205164008
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Hippocampus	 0.0008748420	0.0011482584	2.230640e-01	0.4833054	0.00875717678851502	0.0114940784636578
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Hypothalamus	 0.0006824554	0.0013205643	3.026511e-01	0.4918081	0.0068313857118668	0.0132188619968293
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Nucleus_accumbens_basal_ganglia	 0.0001066228	0.0012878346	4.670084e-01	0.5519190	0.00106729498702479	0.0128912377001211
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Putamen_basal_ganglia	 0.0013236389	0.0012134063	1.376704e-01	0.4514077	0.0132496383881762	0.0121462091263426
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Spinal_cord_cervical_c-1	 0.0001606582	0.0009531445	4.330730e-01	0.5519190	0.00160819020903609	0.00954098591910899
UKB_460K.cov_SMOKING_STATUS	Smoking	Brain_Substantia_nigra	 0.0008432559	0.0008971164	1.736184e-01	0.4514077	0.00844100033146164	0.00898014414159742
UKB_460K.cov_SMOKING_STATUS	Smoking	AllTissues	 0.0076825084	0.0017773808	7.717889e-06	NA	0.0769019856469463	0.0177915997927543
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Amygdala	-0.0015777114	0.002191515	7.642123e-01	0.7642123	-0.00848688207892415	0.0117886745741024
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Anterior_cingulate_cortex_BA24	-0.0011293549	0.001882805	7.256888e-01	0.7642123	-0.00607506656802394	0.0101280514233471
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Caudate_basal_ganglia	 0.0043424569	0.003122512	8.215923e-02	0.2670175	0.0233591013036439	0.0167967314063812
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Cerebellar_Hemisphere	 0.0018248048	0.003272247	2.885379e-01	0.5358561	0.00981605611361199	0.0176021888077018
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Cerebellum	 0.0057711062	0.003783383	6.358187e-02	0.2670175	0.0310441433538155	0.0203517121757863
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Cortex	-0.0009146864	0.003781410	5.955674e-01	0.7642123	-0.00492031434032582	0.0203410988884813
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Frontal_Cortex_BA9	-0.0009373834	0.002909275	6.263514e-01	0.7642123	-0.00504240658638359	0.0156496774265158
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Hippocampus	 0.0020062270	0.002998314	2.517100e-01	0.5358561	0.0107919686708598	0.0161286389174047
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Hypothalamus	 0.0017025553	0.002707730	2.647479e-01	0.5358561	0.00915844711333125	0.0145655201292782
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Nucleus_accumbens_basal_ganglia	-0.0016858922	0.002670687	7.360640e-01	0.7642123	-0.00906881205987122	0.0143662574435513
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Putamen_basal_ganglia	 0.0070367282	0.003749948	3.029421e-02	0.1969124	0.0378522227047585	0.020171853828607
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Spinal_cord_cervical_c-1	 0.0047325124	0.002304731	2.001735e-02	0.1969124	0.0254573019676145	0.0123976907049065
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Substantia_nigra	 0.0007247074	0.002367875	3.797802e-01	0.6171428	0.00389837238711459	0.0127373595178149
PASS_Intelligence_SavageJansen2018	Intelligence	AllTissues	 0.0218960701	0.003233067	6.327116e-12	NA	0.117784131981222	0.017391430984593
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_Amygdala	-7.450828e-04	0.001137473	0.7437768789	0.8057583	-0.00654155261091989	0.00998659379761097
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_Anterior_cingulate_cortex_BA24	 1.355987e-03	0.001441549	0.1734431524	0.4509522	0.0119050646528773	0.0126562646991964
UKB_460K.mental_NEUROTICISM	Neuroticism	Brain_Caudate_basal_ganglia	-6.271336e-04	0.001501538	0.6619023986	0.7822483	-0.00550600160144186	0.0131829532280105
