Trait_Identifier	h2g	sd	Z	N
UKB_460K.body_BMIz	0.2779	0.0067	41.47761194	457824
UKB_460K.cov_EDU_YEARS	0.136	0.0038	35.78947368	454813
UKB_460K.lung_FVCzSMOKE	0.2336	0.0072	32.44444444	371949
PASS_Intelligence_SavageJansen2018	0.1859	0.0064	29.046875	264193
UKB_460K.mental_NEUROTICISM	0.1139	0.004	28.475	372066
UKB_460K.bp_DIASTOLICadjMEDz	0.233	0.0084	27.73809524	422771
UKB_460K.blood_WHITE_COUNT	0.2273	0.0083	27.38554217	444502
UKB_460K.body_HEIGHTz	0.674	0.0261	25.82375479	458303
UKB_460K.other_MORNINGPERSON	0.1061	0.0043	24.6744186	410520
UKB_460K.repro_MENARCHE_AGE	0.253	0.0103	24.5631068	242278
UKB_460K.biochemistry_TotalProtein	0.1811	0.0075	24.14666667	397652
UKB_460K.body_WHRadjBMIz	0.1705	0.0072	23.68055556	458417
UKB_460K.lung_FEV1FVCzSMOKE	0.2763	0.0117	23.61538462	371949
PASS_ReactionTime_Davies2018	0.0812	0.0036	22.55555556	300486
PASS_Myopia_Hysi2020	0.292	0.0133	21.95488722	258995
UKB_460K.biochemistry_Creatinine	0.2213	0.0101	21.91089109	434158
UKB_460K.blood_RED_COUNT	0.2613	0.012	21.775	445174
PASS_BDSCZ_Ruderfer2018	0.3335	0.0154	21.65584416	107620
UKB_460K.blood_PLATELET_COUNT	0.3505	0.0165	21.24242424	444382
UKB_460K.bmd_HEEL_TSCOREz	0.3549	0.0173	20.51445087	445921
PASS_SleepDuration_Dashti2019	0.0708	0.0036	19.66666667	446118
UKB_460K.biochemistry_IGF1	0.2877	0.0154	18.68181818	432292
PASS_GeneralRiskTolerance_KarlssonLinner2019	0.0514	0.0028	18.35714286	466571
PASS_Eosino_Vuckovic2020	0.1704	0.0093	18.32258065	563085
UKB_460K.biochemistry_AspartateAminotransferase	0.1135	0.0062	18.30645161	430982
UKB_460K.blood_RBC_DISTRIB_WIDTH	0.2172	0.0122	17.80327869	442700
PASS_Insomnia_Jansen2019	0.044	0.0025	17.6	383948
PASS_Height1	0.2224	0.0127	17.51181102	131546
PASS_LymP_Vuckovic2020	0.1384	0.008	17.3	563085
UKB_460K.repro_NumberChildrenEverBorn_Pooled	0.0386	0.0023	16.7826087	456500
PASS_AtrialFibrillation_Nielsen2018	0.0218	0.0013	16.76923077	1030836
UKB_460K.biochemistry_Testosterone_Male	0.184	0.0111	16.57657658	196813
PASS_BMI1	0.1461	0.009	16.23333333	122033
UKB_460K.disease_HYPOTHYROIDISM_SELF_REP	0.0546	0.0036	15.16666667	459324
PASS_AgeFirstBirth	0.0618	0.0041	15.07317073	222037
PASS_Glaucoma_Craig2020	0.0705	0.0047	15	351696
PASS_RTC_Vuckovic2020	0.1756	0.0119	14.75630252	563085
UKB_460K.body_BALDING1	0.2234	0.0152	14.69736842	208336
UKB_460K.biochemistry_AlkalinePhosphatase	0.2348	0.016	14.675	433862
UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED	0.0847	0.0058	14.60344828	458699
PASS_DrinksPerWeek_Liu2019	0.0462	0.0032	14.4375	527299
UKB_460K.biochemistry_Phosphate	0.1292	0.0091	14.1978022	397561
PASS_MedicationUse_Wu2019	0.1572	0.0112	14.03571429	78808
PASS_IBD_deLange2017	0.3206	0.0243	13.19341564	59957
UKB_460K.biochemistry_VitaminD	0.086	0.0069	12.46376812	415700
PASS_MDD_Wray2018	0.0728	0.0059	12.33898305	170229
PASS_RD_Zhao2021	0.3448	0.0287	12.01393728	34024
UKB_460K.biochemistry_Cholesterol	0.1307	0.0112	11.66964286	435137
PASS_ADHD_Demontis2018	0.2478	0.0213	11.63380282	55374
PASS_MonoP_Vuckovic2020	0.1649	0.0149	11.06711409	563085
UKB_460K.biochemistry_TotalBilirubin	0.0841	0.0076	11.06578947	429423
UKB_460K.repro_MENOPAUSE_AGE	0.1093	0.0099	11.04040404	143025
PASS_SA_Grasby2020	0.3179	0.0288	11.03819444	33992
PASS_HipOA_Tachmazidou2019	0.0405	0.0038	10.65789474	393873
PASS_AnorexiaNervosa_Watson2019	0.1733	0.017	10.19411765	72517
UKB_460K.pigment_SUNBURN	0.0731	0.0076	9.618421053	344229
PASS_NumberChildrenEverBorn	0.0229	0.0024	9.541666667	318863
PASS_SCZvsBD_Ruderfer2018	0.2649	0.0279	9.494623656	38855
PASS_Years_of_Education1	0.0767	0.0082	9.353658537	126559
PASS_PancreasVol_Liu2021	0.2495	0.0268	9.309701493	31758
PASS_HDL	0.125	0.0135	9.259259259	97749
PASS_CaudateVol_Satizabal2019	0.2499	0.0279	8.956989247	37741
PASS_BrainstemVol_Satizabal2019	0.2889	0.0324	8.916666667	37741
PASS_TH_Grasby2020	0.2476	0.0279	8.874551971	33992
PASS_LDL	0.1032	0.0117	8.820512821	93354
PASS_BasoP_Vuckovic2020	0.043	0.0049	8.775510204	563085
PASS_IschemicStroke_Malik2018	0.0167	0.002	8.35	440328
PASS_Anorexia	0.2358	0.0285	8.273684211	32143
PASS_Alzheimers_deRojas2021	0.0228	0.0028	8.142857143	409435
PASS_Rheumatoid_Arthritis	0.187	0.0249	7.510040161	37681
PASS_Ever_Smoked	0.0853	0.0114	7.48245614	74035
PASS_MO_Zhao2021	0.2222	0.0308	7.214285714	34024
PASS_ProstateCancer	0.1305	0.0186	7.016129032	72729
UKB_460K.cancer_PROSTATE	0.0168	0.0024	7	459324
PASS_AccumbensVol_Satizabal2019	0.2148	0.0309	6.951456311	37741
UKB_460K.cancer_BREAST	0.0178	0.0026	6.846153846	459324
PASS_Type_2_Diabetes	0.095	0.0147	6.462585034	60786
PASS_Autism	0.6216	0.1004	6.19123506	10263
UKB_460K.cov_SMOKING_STATUS	0.0999	0.0034	29.38235294	457683
PASS_Years_of_Education2	0.1097	0.0041	26.75609756	328917
PASS_MDD_Howard2019	0.0794	0.0033	24.06060606	378761
PASS_Menarche2017	0.2	0.0098	20.40816327	252000
UKB_460K.repro_AgeFirstBirth_Female	0.1423	0.0071	20.04225352	169434
PASS_Schizophrenia_Pardinas2018	0.4515	0.0226	19.97787611	94437
PASS_BIP_Stahl2019	0.3838	0.0205	18.72195122	46423
PASS_MCPfemale_Johnston2021	0.0912	0.0049	18.6122449	209093
PASS_MCPmale_Johnston2021	0.0703	0.0056	12.55357143	178556
PASS_CigarettesPerDay_Liu2019	0.058	0.0067	8.656716418	257073
PASS_SmokingCessation_Liu2019	0.0419	0.0049	8.551020408	304846
PASS_DS	0.042	0.0056	7.5	161460
PASS_AgeOfInitiation_Liu2019	0.0419	0.0059	7.101694915	257835
