ID	CHR	START	STOP	SYM	TYPE
C1orf159	1	1081817	1116361	ENSG00000131591	protein_coding
MIR200B	1	1167103	1167198	ENSG00000207730	miRNA
MIR200A	1	1167862	1167952	ENSG00000207607	miRNA
MIR429	1	1169004	1169087	ENSG00000198976	miRNA
TTLL10	1	1173883	1197935	ENSG00000162571	protein_coding
TNFRSF18	1	1203507	1206691	ENSG00000186891	protein_coding
TNFRSF4	1	1211325	1214132	ENSG00000186827	protein_coding
SDF4	1	1216907	1232031	ENSG00000078808	protein_coding
B3GALT6	1	1232248	1235041	ENSG00000176022	protein_coding
FAM132A	1	1242452	1246722	ENSG00000184163	protein_coding
UBE2J2	1	1253908	1273885	ENSG00000160087	protein_coding
SCNN1D	1	1280435	1292029	ENSG00000162572	protein_coding
ACAP3	1	1292375	1308018	ENSG00000131584	protein_coding
PUSL1	1	1308566	1311071	ENSG00000169972	protein_coding
CPSF3L	1	1312017	1324691	ENSG00000127054	protein_coding
TAS1R3	1	1331313	1333379	ENSG00000169962	protein_coding
DVL1	1	1337976	1349350	ENSG00000107404	protein_coding
MXRA8	1	1352690	1361777	ENSG00000162576	protein_coding
AURKAIP1	1	1373729	1375495	ENSG00000175756	protein_coding
CCNL2	1	1386481	1399328	ENSG00000221978	protein_coding
MRPL20	1	1405108	1407313	ENSG00000242485	protein_coding
ANKRD65	1	1418419	1421769	ENSG00000235098	protein_coding
TMEM88B	1	1426127	1427787	ENSG00000205116	protein_coding
VWA1	1	1434860	1442882	ENSG00000179403	protein_coding
ATAD3C	1	1449688	1470158	ENSG00000215915	protein_coding
ATAD3B	1	1471762	1496202	ENSG00000160072	protein_coding
ATAD3A	1	1512150	1534687	ENSG00000197785	protein_coding
TMEM240	1	1535173	1540453	ENSG00000205090	protein_coding
SSU72	1	1541672	1574869	ENSG00000160075	protein_coding
C1orf233	1	1598011	1600096	ENSG00000228594	protein_coding
MIB2	1	1615414	1630610	ENSG00000197530	protein_coding
MMP23B	1	1632094	1634786	ENSG00000189409	protein_coding
CDK11B	1	1635936	1659012	ENSG00000248333	protein_coding
SLC35E2B	1	1661477	1692728	ENSG00000189339	protein_coding
CDK11A	1	1702729	1724327	ENSG00000008128	protein_coding
SLC35E2	1	1724837	1745992	ENSG00000215790	protein_coding
NADK	1	1751231	1780457	ENSG00000008130	protein_coding
GNB1	1	1785289	1891056	ENSG00000078369	protein_coding
CALML6	1	1914826	1917294	ENSG00000169885	protein_coding
TMEM52	1	1917589	1919273	ENSG00000178821	protein_coding
GABRD	1	2019340	2030753	ENSG00000187730	protein_coding
PRKCZ	1	2050469	2181914	ENSG00000067606	protein_coding
SKI	1	2228694	2310119	ENSG00000157933	protein_coding
MORN1	1	2321252	2391707	ENSG00000116151	protein_coding
RER1	1	2391827	2402342	ENSG00000157916	protein_coding
PEX10	1	2406483	2413797	ENSG00000157911	protein_coding
PLCH2	1	2425979	2505526	ENSG00000149527	protein_coding
PANK4	1	2508532	2526600	ENSG00000157881	protein_coding
HES5	1	2528744	2530245	ENSG00000197921	protein_coding
TNFRSF14	1	2555638	2565382	ENSG00000157873	protein_coding
FAM213B	1	2586490	2589040	ENSG00000157870	protein_coding
MMEL1	1	2591556	2633042	ENSG00000142606	protein_coding
ACTRT2	1	3021481	3022901	ENSG00000169717	protein_coding
LINC00982	1	3064071	3068437	ENSG00000177133	antisense
ARHGEF16	1	3454425	3481113	ENSG00000130762	protein_coding
MIR551A	1	3560694	3560790	ENSG00000207776	miRNA
TPRG1L	1	3625001	3630127	ENSG00000158109	protein_coding
MIR4689	1	5862671	5862741	ENSG00000264101	miRNA
CHD5	1	6101792	6180123	ENSG00000116254	protein_coding
RPL22	1	6181268	6208739	ENSG00000116251	protein_coding
RNF207	1	6206128	6218369	ENSG00000158286	protein_coding
ICMT	1	6231901	6235972	ENSG00000116237	protein_coding
LINC00337	1	6236239	6239444	ENSG00000225077	lincRNA
HES3	1	6244191	6245578	ENSG00000173673	protein_coding
GPR153	1	6247345	6260975	ENSG00000158292	protein_coding
ACOT7	1	6264268	6394391	ENSG00000097021	protein_coding
HES2	1	6412417	6424670	ENSG00000069812	protein_coding
ESPN	1	6424787	6460980	ENSG00000187017	protein_coding
MIR4252	1	6429833	6429896	ENSG00000265392	miRNA
